,order_id,order_date,city,category,product,quantity,unit_price,sales,customer_type,payment_method
0,1001,2025-03-13,Chennai,Electronics,Mouse,5,474.49,2372.45,New,Net Banking
1,1002,2025-09-16,Hyderabad,Electronics,Mouse,2,471.86,943.72,New,Net Banking
2,1003,2025-01-04,Bangalore,Clothing,Jacket,5,3185.66,15928.3,Returning,Cash
3,1004,2025-06-22,Chennai,Groceries,Oil,4,163.72,654.88,New,Net Banking
4,1005,2025-01-23,Vizag,Electronics,Headphones,6,2041.49,12248.94,New,Net Banking
5,1006,2025-11-13,Pune,Electronics,Webcam,5,3730.58,18652.9,New,UPI
6,1007,2025-04-30,Chennai,Electronics,Keyboard,5,1316.45,6582.25,Returning,Cash
7,1008,2025-04-18,Delhi,Home,Lamp,3,681.83,2045.49,New,Card
8,1009,2025-11-24,Mumbai,Clothing,Jeans,8,1463.84,11710.72,Returning,UPI
9,1010,2025-02-03,Mumbai,Clothing,T-Shirt,6,588.14,3528.84,Returning,Card
10,1011,2025-03-13,Mumbai,Home,Chair,8,2321.44,18571.52,Returning,Net Banking
11,1012,2025-03-12,Vizag,Home,Lamp,4,769.63,3078.52,New,UPI
12,1013,2025-08-05,Chennai,Electronics,Keyboard,3,1270.1,3810.3,Returning,Net Banking
13,1014,2025-01-06,Chennai,Home,Table,5,5471.08,27355.4,Returning,Cash
14,1015,2025-01-02,Delhi,Electronics,Headphones,7,1863.26,13042.82,New,UPI
15,1016,2025-03-24,Hyderabad,Groceries,Biscuits,4,37.22,148.88,Returning,Net Banking
16,1017,2025-06-07,Mumbai,Electronics,Mouse,6,537.87,3227.22,New,Card
17,1018,2025-09-30,Bangalore,Electronics,Mouse,8,531.6,4252.8,New,Net Banking
18,1019,2025-10-04,Mumbai,Clothing,Shoes,7,2732.18,19125.26,Returning,Net Banking
19,1020,2025-04-26,Chennai,Groceries,Dal,8,110.9,887.2,Returning,UPI
20,1021,2025-12-29,Hyderabad,Clothing,Shirt,4,1081.73,4326.92,New,UPI
21,1022,2025-05-23,Vizag,Electronics,Headphones,2,2005.66,4011.32,New,Card
22,1023,2025-04-08,Chennai,Home,Pillow,8,530.75,4246.0,New,Net Banking
23,1024,2025-01-28,Chennai,Groceries,Dal,7,119.21,834.47,New,Net Banking
24,1025,2025-10-02,Vizag,Groceries,Rice,4,75.07,300.28,New,Net Banking
